id,province,population,x_coord,y_coord,latitude,longitude,name,household_id
41034,4,18733,120835.599736842,184078.538421053,50.9640938184211,3.95310353684211,LEDE,4
41048,4,38374,124487.935316456,168825.287151899,50.8270294240506,4.00685367974684,NINOVE,4
41063,4,9815,115599.4495,180209.3845,50.9281444433333,3.87695582666667,SINT,4
41081,4,26485,110851.84325,173376.43975,50.871073015,3.810389245,ZOTTEGEM,4
41082,4,20682,120959.619528302,179452.618867925,50.9234240735849,3.95514536226415,ERPE - MERE-MERE,4
42003,4,15142,122568.027692308,192048.6625,51.0539433038462,3.99488903846154,BERLARE,4
42004,4,15208,137920.128787879,189449.166060606,51.0136764,4.2011261,BUGGENHOUT,4
42006,4,46760,130935.180403226,190869.199919355,51.0270769741935,4.09951408387097,DENDERMONDE,4
42008,4,24444,133678.454333333,196983.0025,51.0839212133333,4.14439191333333,HAMME,4
42010,4,12773,115898.5815,192379.3915,51.03438955,3.88597895,LAARNE,4
42011,4,18948,132802.062954545,187217.072727273,50.9976468454545,4.11601398181818,LEBBEKE,4
42023,4,11261,129836.956666667,200796.357333333,51.1094611,4.0844742,WAASMUNSTER,4
42025,4,25036,115386.66047619,187550.282261905,50.9981815571429,3.88601201428571,WETTEREN,4
42026,4,12207,120524.427647059,187997.171764706,51.0046888941176,3.94041428235294,WICHELEN,4
42028,4,22020,126565.492272727,195390.453636364,51.1023413,3.9940663,ZELE,4
43002,4,14490,103924.464901961,213837.040588235,51.2311090705882,3.71436938823529,ASSENEDE,4
43005,4,20622,93138.1223809524,209072.882857143,51.2046849,3.4868397,EEKLO ,4
43007,4,6581,98150.74375,211108.54,51.2066899,3.6252572,KAPRIJKE,4
43010,4,23738,86126.8485135135,211366.21472973,51.2050524054054,3.48332214324324,MALDEGEM,4
43014,4,6772,94194.4046666667,217020.976,51.2687639866667,3.56912622666667,SINT-LAUREINS,4
43018,4,12937,110780.50125,210115.9353125,51.1987114,3.8119772,ZELZATE,4
44001,4,20077,85327.9755769231,197657.3775,51.0809487923077,3.45586583076923,AALTER,4
44011,4,29982,90893.227755102,186746.587755102,50.9913404816327,3.53021639183673,DEINZE,4
44012,4,10996,100834.495,186179.108125,50.98157445,3.6824476,DE PINTE,4
44013,4,18698,110452.959,192636.9902,51.04630278,3.800848876,DESTELBERGEN,4
44019,4,33897,104561.348939394,203752.306919192,51.1389861090909,3.71619817272727,EVERGEM,4
44020,4,13033,101496.708392857,180023.184642857,50.921140075,3.666745225,GAVERE,4
44021,4,243150,104032.040414508,194183.700595855,51.050978484456,3.72126410777202,GENT,4
44029,4,8620,85589.2357142857,203280.188571429,51.1389344142857,3.41277175714286,KNESSELARE,4
44034,4,20926,114380.6727,198905.6351,51.0998049,3.863398716,LOCHRISTI,4
44036,4,10483,98198.51,198637.468181818,51.0922852818182,3.61860521818182,LOVENDEGEM,4
